iter	Passed	Remaining
437	2176	308
438	2180	302
439	2184	297
440	2188	292
441	2193	287
442	2198	282
443	2202	277
444	2208	272
445	2212	267
446	2216	262
447	2221	257
448	2225	252
449	2230	247
450	2234	242
451	2240	237
452	2244	232
453	2249	227
454	2254	222
455	2259	218
456	2263	212
457	2267	207
458	2273	203
459	2277	198
460	2281	193
461	2286	188
462	2291	183
463	2295	178
464	2299	173
465	2308	168
466	2312	163
467	2317	158
468	2321	153
469	2325	148
470	2329	143
471	2333	138
472	2338	133
473	2341	128
474	2345	123
475	2350	118
476	2354	113
477	2358	108
478	2362	103
479	2368	98
480	2373	93
481	2378	88
482	2383	83
483	2389	78
484	2394	74
485	2401	69
486	2406	64
487	2411	59
488	2416	54
489	2422	49
490	2427	44
491	2434	39
492	2440	34
493	2444	29
494	2452	24
495	2457	19
496	2462	14
497	2468	9
498	2473	4
499	2479	0
