iter	RMSE
230	0.5963494137
231	0.5961829723
232	0.595960298
233	0.5957676597
234	0.5956119681
235	0.5953524354
236	0.5952349239
237	0.5951242288
238	0.5950234407
239	0.5947796652
240	0.5946054614
241	0.5943970966
242	0.5941660586
243	0.5940049071
244	0.5939003855
245	0.5937237079
246	0.5935915108
247	0.5932886524
248	0.5932095785
249	0.5930129952
250	0.5928530268
251	0.5926351834
252	0.5924620055
253	0.5922420442
254	0.592170106
255	0.5920025984
256	0.5917436514
257	0.5915634222
258	0.5914163578
259	0.5912990939
260	0.5911623086
261	0.5910382663
262	0.5909691864
263	0.5908749893
264	0.5907090865
265	0.5906300302
266	0.5905418315
267	0.5904112581
268	0.5902778585
269	0.590179952
270	0.5900369561
271	0.5898315046
272	0.5896573736
273	0.5894381268
274	0.5891899626
275	0.5888975231
276	0.5887295386
277	0.5885858127
278	0.588454388
279	0.5882726729
280	0.5881581914
281	0.5879461142
282	0.587739943
283	0.5875325375
284	0.5874786415
285	0.5872800306
286	0.5871668585
287	0.5870903888
288	0.5869515101
289	0.5868493039
290	0.5866922627
291	0.5865278371
292	0.5863550177
293	0.5862165304
294	0.5860293278
295	0.5859034004
296	0.5858129798
297	0.5857032647
298	0.5855875063
299	0.5854818562
300	0.5853465675
301	0.5851487463
302	0.5849497273
303	0.5847819508
304	0.5845763017
305	0.5844663185
306	0.5843409412
307	0.5841146333
308	0.5839100149
309	0.5837111252
310	0.5836131615
311	0.5835272886
312	0.5834149588
313	0.5832989766
314	0.5831053413
315	0.5829729088
316	0.5828642532
317	0.582817374
318	0.5826180455
319	0.5824847324
320	0.5823862218
321	0.582312431
322	0.5822485971
323	0.5821681358
324	0.5821456818
325	0.5820401071
326	0.581916532
327	0.5818642627
328	0.5817307008
329	0.5815990737
330	0.5814685161
331	0.581277839
332	0.5811577767
333	0.5810619943
334	0.5809203001
335	0.5808040857
336	0.5807042267
337	0.5805539169
338	0.5804114128
339	0.5802105764
340	0.5801059942
341	0.5800428481
342	0.5799312368
343	0.5798209056
344	0.579737171
345	0.5795664242
346	0.5794213569
347	0.5793816995
348	0.5792283106
349	0.5790982836
350	0.5790399154
351	0.5788685872
352	0.5787716291
353	0.5786855582
354	0.5783636075
355	0.5781472707
356	0.5780289527
357	0.5778794144
358	0.5778012784
359	0.5777001573
360	0.5775162035
361	0.57737821
362	0.5772273942
363	0.5771060112
364	0.5769978471
365	0.5768931331
366	0.5767019068
367	0.5765493751
368	0.5763647858
369	0.576209826
370	0.5760899343
371	0.5759265361
372	0.5758888417
373	0.5758500216
374	0.5756907615
375	0.5755942235
376	0.5755156127
377	0.5753867156
378	0.5753041781
379	0.5751972502
380	0.5750559639
381	0.5750274985
382	0.574928539
383	0.5748686624
384	0.5747464218
385	0.5746355044
386	0.5745098629
387	0.5743490604
388	0.5741854259
389	0.5741186199
390	0.5740000356
391	0.573832171
392	0.5736367944
393	0.5735872392
394	0.57351697
395	0.5734166023
396	0.5732998145
397	0.57314242
398	0.5730088083
399	0.5729853753
400	0.5728654825
401	0.5727104477
402	0.5726648339
403	0.5726030682
404	0.5724560224
405	0.5723172372
406	0.5722527347
407	0.5721766594
408	0.5720493948
409	0.5719589661
410	0.5718594438
411	0.5717410503
412	0.5716818724
413	0.571589279
414	0.5714680802
415	0.5712234243
416	0.5711338607
417	0.5710429043
418	0.5708874158
419	0.5708059889
420	0.570677799
421	0.5704932118
422	0.5704440243
423	0.5702335418
424	0.5702084324
425	0.5700967509
426	0.5699240062
427	0.5697784089
428	0.5696988185
429	0.5695660931
430	0.5695016548
431	0.5693855412
432	0.5692415313
433	0.5691291423
434	0.5689713171
435	0.5688497626
436	0.5687388959
437	0.5686817978
438	0.5685474839
439	0.5683731807
440	0.5683052267
441	0.5682209814
442	0.5681046654
443	0.5679740937
444	0.5678150635
445	0.5677025634
446	0.5675512714
447	0.5673977381
448	0.567359422
449	0.5672591817
450	0.567170814
451	0.5670754504
452	0.5670359679
453	0.5668625291
454	0.566740409
455	0.566639554
456	0.5665363628
457	0.5664550116
458	0.5663795577
459	0.5662838873
460	0.5661164729
461	0.5659392525
462	0.565797708
463	0.5656191741
464	0.5654669535
465	0.5654412562
466	0.5653577378
467	0.56519158
468	0.5650712458
469	0.5649290255
470	0.5648373323
471	0.5647204465
472	0.5645169323
473	0.5643597157
474	0.5642851284
475	0.5642473704
476	0.564134967
477	0.5640221861
478	0.5639639464
479	0.5638540107
480	0.5636952969
481	0.5636001422
482	0.5635168118
483	0.5633916847
484	0.5632995627
485	0.5631961281
486	0.5630718018
487	0.5629940772
488	0.5629028034
489	0.5628825783
490	0.5627983101
491	0.5627881058
492	0.5626722657
493	0.5626072057
494	0.5625018927
495	0.5624146805
496	0.5622998798
497	0.5622041609
498	0.5621059381
499	0.561992738
